timestamp,baro_pressure,baro_temperature,baro_altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,quat_w,quat_x,quat_y,quat_z,fusion_altitude,fusion_velocity
3866788,101291.890625,20.780001,2.757130,0.2300,0.2200,9.5900,0.0625,-0.2500,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.2206,3.3086
4009742,101284.062500,20.780001,3.408783,0.2200,0.2000,9.5500,-0.0625,-0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4933,6.4065
4157453,101282.976562,20.770000,3.499265,0.2400,0.2100,9.5600,0.0625,0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.7732,8.6837
4292243,101285.140625,20.780001,3.319318,0.2400,0.2100,9.6000,0.0000,0.1875,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.0388,10.0618
4320860,101293.656250,20.770000,2.609725,0.2000,0.2000,9.5700,0.0000,0.0625,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.2475,10.1749
4349457,101289.742188,20.770000,2.936051,0.2300,0.2100,9.6000,-0.1875,0.1250,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.4824,10.6457
4379915,101286.898438,20.770000,3.172922,0.2300,0.2200,9.5700,0.1250,0.1875,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.7363,11.2595
4409294,101290.820312,20.770000,2.846081,0.2300,0.2100,9.5700,0.0625,0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.9639,11.2969
4439125,101290.820312,20.770000,2.846081,0.2400,0.2100,9.5800,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.1916,11.3232
4469502,101282.976562,20.770000,3.499265,0.2200,0.2000,9.5500,0.0000,-0.0625,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.4716,12.1253
4499366,101276.226562,20.780001,4.061493,0.2200,0.2000,9.5500,-0.1875,0.0000,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.5208,9.2258
4529450,101286.898438,20.770000,3.172922,0.2400,0.2100,9.6000,0.0625,-0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.4337,5.1524
4569200,101300.796875,20.780001,2.015047,0.2500,0.2100,9.5800,0.0625,-0.0625,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.2450,0.7758
4599746,101289.046875,20.780001,2.993997,0.2200,0.2100,9.5700,-0.0625,0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.1526,-0.8431
4629945,101284.062500,20.780001,3.408783,0.2300,0.2000,9.5900,0.0000,-0.0625,-0.1875,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.1643,-0.4142
4660099,101282.976562,20.770000,3.499265,0.2300,0.2000,9.5800,0.0000,-0.1250,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.1507,-0.4949
4691530,101282.976562,20.770000,3.499265,0.2200,0.2100,9.5500,0.0625,0.0625,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.1133,-0.9067
4721153,101292.968750,20.780001,2.667162,0.2100,0.2200,9.5700,0.0000,0.1875,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.0421,-1.7032
4750781,101287.976562,20.780001,3.082951,0.2200,0.1900,9.5700,0.0000,-0.0625,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,2.0041,-1.7618
4782127,101287.976562,20.780001,3.082951,0.2400,0.2000,9.5600,-0.0625,-0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.9008,-2.7826
4811824,101285.140625,20.780001,3.319318,0.2300,0.2100,9.5400,0.0000,0.0625,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.7602,-4.0569
4841418,101300.796875,20.780001,2.015047,0.2300,0.2100,9.5900,0.0000,-0.1250,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.6041,-5.1812
4883789,101289.046875,20.780001,2.993997,0.2300,0.2000,9.5800,0.0000,0.0000,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.6421,-3.0566
4931957,101292.968750,20.780001,2.667162,0.2300,0.2000,9.5800,0.0000,-0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.5561,-3.4300
4962105,101287.976562,20.780001,3.082951,0.2300,0.2200,9.5800,0.0000,-0.0625,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.4619,-3.8146
5000809,101286.898438,20.770000,3.172922,0.2400,0.2100,9.5900,0.0625,0.0625,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.3658,-4.1116
5031126,101287.976562,20.780001,3.082951,0.2200,0.2100,9.5800,0.0000,0.0000,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.2625,-4.4275
5061272,101282.976562,20.770000,3.499265,0.2300,0.2100,9.5600,-0.0625,-0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.2757,-2.9009
5091432,101296.890625,20.780001,2.340337,0.2300,0.2200,9.5800,0.0625,-0.0625,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.1546,-3.8466
5122883,101291.203125,20.790001,2.814059,0.2400,0.2000,9.5700,-0.1250,0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.0715,-3.9402
5152442,101277.296875,20.780001,3.972531,0.2400,0.2100,9.5700,-0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.0573,-2.9701
5182091,101289.046875,20.780001,2.993997,0.2300,0.2000,9.5800,0.0000,0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.0954,-1.5088
5213525,101285.140625,20.780001,3.319318,0.2400,0.2200,9.5700,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.0615,-1.5640
5243135,101292.968750,20.780001,2.667162,0.2300,0.2100,9.5700,0.0000,0.0000,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,1.0082,-1.8949
5272746,101291.890625,20.780001,2.757130,0.2200,0.1900,9.5700,-0.0625,-0.0625,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.9204,-2.6423
5304172,101291.203125,20.790001,2.814059,0.2500,0.1900,9.5600,-0.1250,-0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.8283,-3.2321
5333799,101290.820312,20.770000,2.846081,0.2200,0.2000,9.5800,-0.0625,0.0625,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.7477,-3.4716
5363426,101289.046875,20.780001,2.993997,0.2400,0.2100,9.5800,0.0000,-0.1875,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.6373,-4.0862
5393029,101287.976562,20.780001,3.082951,0.2100,0.2000,9.5600,0.0625,0.0000,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.6499,-2.6713
5431887,101282.976562,20.770000,3.499265,0.2300,0.1900,9.5700,-0.0625,0.0000,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.6484,-1.8919
5462658,101289.046875,20.780001,2.993997,0.2300,0.2100,9.5600,0.0625,-0.0625,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4907,-3.6903
5492782,101281.218750,20.780001,3.645665,0.2300,0.2000,9.5900,0.0000,-0.1875,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4829,-2.6994
5524192,101284.062500,20.780001,3.408783,0.2300,0.2000,9.5800,-0.1250,0.0000,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4237,-2.7780
5553807,101282.976562,20.770000,3.499265,0.2400,0.2100,9.5700,0.0000,0.1875,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4369,-1.7463
5583464,101285.140625,20.780001,3.319318,0.2200,0.2100,9.5600,0.0625,-0.1250,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4267,-1.3749
5614857,101285.140625,20.780001,3.319318,0.2400,0.2000,9.5600,0.0000,-0.0625,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4109,-1.2003
5644466,101285.140625,20.780001,3.319318,0.2200,0.2100,9.5800,0.0000,0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.3918,-1.1262
5674070,101284.062500,20.780001,3.408783,0.2400,0.2000,9.5800,-0.0625,-0.1250,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.3651,-1.1888
5705545,101277.296875,20.780001,3.972531,0.2300,0.2100,9.5700,-0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.3746,-0.6895
5735128,101268.398438,20.780001,4.713737,0.2400,0.2000,9.5700,-0.0625,-0.1875,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4018,-0.0751
5764759,101286.210938,20.790001,3.229854,0.2400,0.2000,9.6000,0.0000,0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.4159,0.1594
5794387,101285.140625,20.780001,3.319318,0.2300,0.2100,9.5700,0.0000,0.0625,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.3851,-0.3511
5833655,101301.882812,20.790001,1.925086,0.2300,0.2100,9.5800,0.0000,-0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.2682,-1.9991
5864042,101292.968750,20.780001,2.667162,0.2200,0.2000,9.5700,-0.0625,-0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.1980,-2.4518
5894238,101287.976562,20.780001,3.082951,0.2000,0.2000,9.5500,-0.0625,0.1875,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.1649,-2.2128
5925619,101291.890625,20.780001,2.757130,0.2400,0.2200,9.5500,0.0625,-0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.1123,-2.3386
5955212,101279.070312,20.770000,3.824601,0.2200,0.2000,9.5700,0.1250,-0.3125,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.1498,-1.0746
5984870,101301.882812,20.790001,1.925086,0.2500,0.2100,9.5800,-0.0625,-0.1875,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.0198,-2.7015
6016297,101291.203125,20.790001,2.814059,0.2500,0.2200,9.5600,0.0000,-0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0954,-3.6191
6045889,101289.046875,20.780001,2.993997,0.2300,0.2100,9.5900,0.0625,-0.0625,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.2572,-4.9614
6075496,101286.898438,20.770000,3.172922,0.2300,0.2100,9.5600,0.0000,-0.1250,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.2452,-3.2918
6106905,101297.960938,20.790001,2.251390,0.2300,0.2000,9.5700,-0.0625,0.0000,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.3335,-3.6297
6136568,101286.210938,20.790001,3.229854,0.2400,0.2100,9.5900,-0.1250,0.0000,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.2273,-0.9481
6166178,101292.968750,20.780001,2.667162,0.2400,0.2100,9.5700,-0.0625,-0.0625,0.1875,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.2208,-0.5656
6204918,101285.140625,20.780001,3.319318,0.2300,0.2000,9.5500,0.0625,0.0000,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1954,-0.0145
6235298,101277.296875,20.780001,3.972531,0.2400,0.2000,9.5800,-0.0625,0.0000,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0833,1.6709
6265525,101292.968750,20.780001,2.667162,0.2300,0.2200,9.5700,-0.0625,-0.0625,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1824,-0.3169
6295530,101292.968750,20.780001,2.667162,0.2300,0.2100,9.5500,0.0625,0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1082,0.8913
6326900,101294.039062,20.790001,2.578212,0.2300,0.2000,9.5700,0.0625,0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1217,0.4216
6356526,101285.140625,20.780001,3.319318,0.2300,0.2000,9.5700,-0.0625,0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0939,0.7122
6386179,101285.140625,20.780001,3.319318,0.2300,0.2100,9.5800,-0.1250,0.0000,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0792,0.7181
6417622,101292.968750,20.780001,2.667162,0.2200,0.2000,9.5800,0.1250,0.1250,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0507,0.9307
6447194,101289.046875,20.780001,2.993997,0.2100,0.2100,9.5800,-0.0625,0.0625,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0743,0.2977
6476830,101292.968750,20.780001,2.667162,0.2300,0.2200,9.5700,0.0000,0.1250,-0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0743,0.2084
6508246,101285.140625,20.780001,3.319318,0.2400,0.2100,9.5500,-0.0625,-0.0625,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0790,0.0750
6537872,101287.289062,20.790001,3.140390,0.2200,0.2100,9.5800,0.0625,0.1250,-0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1616,-1.1860
6567495,101294.039062,20.790001,2.578212,0.2400,0.2100,9.5900,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1604,-0.8122
6606206,101292.968750,20.780001,2.667162,0.2300,0.2100,9.5600,-0.0625,0.0625,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1437,-0.3189
6636578,101285.140625,20.780001,3.319318,0.2200,0.2100,9.5800,0.1875,0.1875,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0892,0.5947
6666761,101289.046875,20.780001,2.993997,0.2200,0.2000,9.5900,0.0000,-0.1250,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.1253,-0.1256
6696925,101282.976562,20.770000,3.499265,0.2400,0.2000,9.5700,-0.0625,-0.1250,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0979,0.3240
6737025,101292.968750,20.780001,2.667162,0.2200,0.2100,9.5600,0.0625,-0.1250,0.1250,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0914,0.3248
6792979,101289.046875,20.780001,2.993997,0.2200,0.2000,9.5900,0.0000,-0.0625,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0848,0.3250
6826586,101290.132812,20.790001,2.903519,0.2200,0.2000,9.5700,0.0625,0.0000,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0659,0.5111
6857885,101277.296875,20.780001,3.972531,0.2200,0.2100,9.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,-0.0249,0.9730
6887653,101281.218750,20.780001,3.645665,0.2200,0.2100,9.5700,0.0000,-0.0625,0.0625,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.0090,1.1895
6917670,101286.210938,20.790001,3.229854,0.2200,0.2200,9.5700,0.0625,0.0625,0.1875,0.0000,0.0000,0.0000,16382.0000,165.0000,-218.0000,0.0000,0.0665,1.6950
